玛丽和马克思,2009,8.9,398112人评价
怪兽电力公司,2001,8.8,608126人评价
教父3,1990,9.0,335481人评价
一个叫欧维的男人决定去死,2015,8.9,416223人评价
大鱼,2003,8.8,527355人评价
玩具总动员3,2010,8.9,467462人评价
寄生虫,2019,8.8,1259221人评价
傲慢与偏见,2005,8.7,724299人评价
告白,2010,8.8,628592人评价
神偷奶爸,2010,8.6,876074人评价
釜山行,2016,8.6,1094358人评价
未麻的部屋,1997,9.0,287881人评价
阳光姐妹淘,2011,8.8,558242人评价
射雕英雄传之东成西就,1993,8.7,585008人评价
被解救的姜戈,2012,8.8,557403人评价
恐怖直播,2013,8.7,598795人评价
哪吒闹海,1979,9.1,234450人评价
我是山姆,2001,9.0,307408人评价
哈利·波特与火焰杯,2005,8.7,576425人评价
血战钢锯岭,2016,8.7,728512人评价
头号玩家,2018,8.7,1258644人评价
新世界,2013,8.9,364265人评价
模仿游戏,2014,8.7,586675人评价
喜宴,1993,9.0,321355人评价
七武士,1954,9.3,178710人评价
花样年华,2000,8.7,543091人评价
黑客帝国3：矩阵革命,2003,8.8,413033人评价
头脑特工队,2015,8.8,553793人评价
电锯惊魂,2004,8.7,483415人评价
三块广告牌,2017,8.7,760541人评价
你的名字。,2016,8.5,1271887人评价
卢旺达饭店,2004,8.9,299201人评价
达拉斯买家俱乐部,2013,8.8,417964人评价
疯狂原始人,2013,8.7,778605人评价
上帝之城,2002,9.0,280197人评价
谍影重重3,2007,8.8,387478人评价
九品芝麻官,1994,8.7,595876人评价
英雄本色,1986,8.6,486577人评价
风之谷,1984,8.9,331873人评价
惊魂记,1960,9.0,253491人评价
心迷宫,2014,8.7,469706人评价
纵横四海,1991,8.8,383784人评价
海街日记,2015,8.8,404157人评价
岁月神偷,2010,8.7,541971人评价
记忆碎片,2000,8.7,558748人评价
忠犬八公物语,1987,9.2,176841人评价
荒蛮故事,2014,8.8,405049人评价
爱在午夜降临前,2013,8.9,352389人评价
绿里奇迹,1999,8.9,292734人评价
色，戒,2007,8.6,686336人评价
爆裂鼓手,2014,8.7,529989人评价
小偷家族,2018,8.7,758028人评价
贫民窟的百万富翁,2008,8.6,695461人评价
无敌破坏王,2012,8.7,490478人评价
真爱至上,2003,8.6,674834人评价
东邪西毒,1994,8.6,534674人评价
疯狂的石头,2006,8.5,746597人评价
冰川时代,2002,8.6,565917人评价
雨中曲,1952,9.1,198362人评价
茶馆,1982(中国大陆),9.5,105589人评价
你看起来好像很好吃,2010,8.9,307531人评价
黑天鹅,2010,8.6,737583人评价
恐怖游轮,2009,8.5,769041人评价
2001太空漫游,1968,8.9,284592人评价
魔女宅急便,1989,8.7,419337人评价
雨人,1988,8.7,374894人评价
恋恋笔记本,2004,8.6,614241人评价
遗愿清单,2007,8.7,401155人评价
城市之光,1931,9.3,130119人评价
可可西里,2004,8.9,276145人评价
大佛普拉斯,2017,8.7,402914人评价
无间道2,2003,8.7,417879人评价
萤火虫之墓,1988,8.7,381555人评价
牯岭街少年杀人事件,1991,8.9,257071人评价
背靠背，脸对脸,1994,9.5,105719人评价
虎口脱险,1966,8.9,230840人评价
源代码,2011,8.5,773467人评价
人工智能,2001,8.7,407267人评价
初恋这件小事,2010,8.5,922537人评价
小丑,2019,8.7,922396人评价
东京教父,2003,9.0,190282人评价
海边的曼彻斯特,2016,8.6,463346人评价
罗生门,1950,8.8,286291人评价
终结者2：审判日,1991,8.8,314404人评价
青蛇,1993,8.6,478959人评价
波西米亚狂想曲,2018,8.6,547891人评价
奇迹男孩,2017,8.6,516235人评价
二十二,2015,8.7,274563人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,482637人评价
新龙门客栈,1992,8.7,405086人评价
房间,2015,8.8,347997人评价
无耻混蛋,2009,8.6,434886人评价
血钻,2006,8.7,346483人评价
千钧一发,1997,8.8,261747人评价
魂断蓝桥,1940,8.8,254921人评价
心灵奇旅,2020,8.7,869222人评价
步履不停,2008,8.8,253843人评价
黑客帝国2：重装上阵,2003,8.7,373977人评价
彗星来的那一夜,2013,8.5,511428人评价
崖上的波妞,2008,8.6,438599人评价
战争之王,2005,8.7,333888人评价
爱乐之城,2016,8.4,798892人评价
谍影重重2,2004,8.7,325003人评价
燃情岁月,1994,8.8,266099人评价
阿飞正传,1990,8.5,464088人评价
末路狂花,1991,8.9,214828人评价
海洋,2009,9.1,149776人评价
再次出发之纽约遇见你,2013,8.6,395585人评价
谍影重重,2002,8.6,390786人评价
火星救援,2015,8.5,653921人评价
穿越时空的少女,2006,8.6,355378人评价
朗读者,2008,8.6,428348人评价
香水,2006,8.5,509075人评价
地球上的星星,2007,8.9,189761人评价
千年女优,2001,8.8,229904人评价
我爱你,2011,9.0,152381人评价
完美陌生人,2016,8.5,491158人评价
驴得水,2016,8.3,853669人评价
聚焦,2015,8.8,254859人评价
浪潮,2008,8.7,256180人评价
