id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1300956,青萝卜,1186,蔬菜,,,0.7,1.2,0.95,鲁,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300955,胡萝卜,1186,蔬菜,,,0.8,1.1,0.95,鲁,泥,斤,2022-07-03 00:00:00,,138,,admin,,,
1300954,胡萝卜,1186,蔬菜,,,0.8,1.1,0.95,鲁,洗,斤,2022-07-03 00:00:00,,138,,admin,,,
1300953,土豆,1186,蔬菜,,,0.8,1.2,1.0,鲁冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300952,葱头,1186,蔬菜,,,1.2,1.3,1.25,鲁冀,黄,斤,2022-07-03 00:00:00,,138,,admin,,,
1300951,葱头,1186,蔬菜,,,0.75,1.0,0.88,鲁冀,红,斤,2022-07-03 00:00:00,,138,,admin,,,
1300950,山药,1186,蔬菜,,,4.5,5.5,5.0,冀,脆\麻,斤,2022-07-03 00:00:00,,138,,admin,,,
1300949,山药,1186,蔬菜,,,7.0,8.5,7.75,豫冀,铁棍,斤,2022-07-03 00:00:00,,138,,admin,,,
1300948,莲藕,1186,蔬菜,,,6.0,7.0,6.5,桂云川,泥\洗,斤,2022-07-03 00:00:00,,138,,admin,,,
1300947,红薯,1186,蔬菜,,,2.5,2.8,2.65,冀,济薯26,斤,2022-07-03 00:00:00,,138,,admin,,,
1300946,红薯,1186,蔬菜,,,2.0,2.8,2.4,粤琼,西瓜红\烟薯,斤,2022-07-03 00:00:00,,138,,admin,,,
1300945,紫薯,1186,蔬菜,,,2.6,3.5,3.05,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300944,茭白,1186,蔬菜,,,2.8,3.0,2.9,浙,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300943,荸荠,1186,蔬菜,,,3.0,4.0,3.5,皖,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300942,芋头,1186,蔬菜,,,3.0,3.5,3.25,闽,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300941,姜,1186,蔬菜,,,0.8,2.2,1.5,冀鲁,姜头\整,斤,2022-07-03 00:00:00,,138,,admin,,,
1300940,大蒜,1186,蔬菜,,,2.0,2.6,2.3,豫苏鲁,老,斤,2022-07-03 00:00:00,,138,,admin,,,
1300939,大蒜,1186,蔬菜,,,1.3,2.0,1.65,豫,新,斤,2022-07-03 00:00:00,,138,,admin,,,
1300938,蒜米,1186,蔬菜,,,2.2,3.2,2.7,鲁,机剥\手工,斤,2022-07-03 00:00:00,,138,,admin,,,
1300937,大葱,1186,蔬菜,,,2.0,2.3,2.15,鲁,,斤,2022-07-03 00:00:00,,138,,admin,,,
